0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Possible duplications:,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
95132,Yale Peabody Museum of Natural History,YU,urn:lsid:biocol.org:col:14791,PreservedSpecimen,urn:uuid:a8747077-868d-4e4d-ba31-37c7318d30d7,YU.062137,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Cirsium muticum,Michx.,Cirsium,muticum,,,,,,,,,,Hugh S. Clark,,1909-09-04,1909,9,4,247,,,,,,,,,,,,,,,,,,USA,Connecticut,New Haven County,Milford,,,41.2281,-73.059,WGS84,7545,,,,,,,,,,,,,,,,,2011-04-10 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:a7b431f5-2123-498c-8c0a-12ea04b5ae65,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=95132
117363,Yale Peabody Museum of Natural History,CBS,http://grbio.org/cool/x0m9-a3bs,PreservedSpecimen,urn:uuid:94d2a9a5-89a5-4ade-8671-17ca8e2a3ff2,CBS.035079,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Cirsium muticum,Michx.,Cirsium,muticum,,,,,,,,,,Hugh S. Clark,,1909-09-04,1909,9,4,247,,,,,,,,,,,,,,,,,,USA,Connecticut,New Haven County,Milford,,,41.2281,-73.059,WGS84,7545,,,,,,,,,,,,,,,,,2011-12-22 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:dc5a987d-f8cf-4367-bafc-5efe6b271959,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=117363
Possible duplications:,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
95863,Yale Peabody Museum of Natural History,YU,urn:lsid:biocol.org:col:14791,PreservedSpecimen,urn:uuid:6bd69ce1-beb1-479b-9cb4-7070e607ba29,YU.063141,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Helianthus decapetalus,L.,Helianthus,decapetalus,,,,,,,,,,Hugh S. Clark,,1909-09-04,1909,9,4,247,,,,,,,,,,,,,,,,,,USA,Connecticut,New Haven County,Milford,,,41.2281,-73.059,WGS84,7545,,,,,,,,,,,,,,,,,2011-12-23 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:25062b18-8e52-422f-83a2-fd364a3cbc6f,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=95863
119010,Yale Peabody Museum of Natural History,CBS,http://grbio.org/cool/x0m9-a3bs,PreservedSpecimen,urn:uuid:a81c8cf2-1424-4558-a63c-082ec27e7239,CBS.037172,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Helianthus decapetalus,L.,Helianthus,decapetalus,,,,,,,,,,Hugh S. Clark,,1909-09-04,1909,9,4,247,,,,,,,,,,,,,,,,,,USA,Connecticut,New Haven County,Milford,,,41.2281,-73.059,WGS84,7545,,,,,,,,,,,,,,,,,2011-12-22 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:85962957-1582-414d-ac85-21c7df7895f3,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=119010
119011,Yale Peabody Museum of Natural History,CBS,http://grbio.org/cool/x0m9-a3bs,PreservedSpecimen,urn:uuid:8ba6972f-04b7-474e-89c1-f14aeaf4ca60,CBS.037173,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Helianthus decapetalus,L.,Helianthus,decapetalus,,,,,,,,,,Hugh S. Clark,,1909-09-04,1909,9,4,247,,,,,,,,,,,,,,,,,,USA,Connecticut,New Haven County,Milford,,,41.2281,-73.059,WGS84,7545,,,,,,,,,,,,,,,,,2011-12-22 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:a6a10793-f64a-4325-953a-77393aecd0d1,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=119011
Possible duplications:,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
95883,Yale Peabody Museum of Natural History,YU,urn:lsid:biocol.org:col:14791,PreservedSpecimen,urn:uuid:b2600962-a167-49a3-907e-1142664cd5d7,YU.063162,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Helianthus divaricatus,L.,Helianthus,divaricatus,,,,,,,,,,Hugh S. Clark,,1909-09-13,1909,9,13,256,,,,,,,,,,,,,,,,,,USA,Connecticut,Fairfield County,Fairfield,,,41.1779,-73.2735,WGS84,6752,,,,,,,,,,,,,,,,,2011-12-23 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:20099f0f-a6bb-4ec8-b762-0f1909057cc1,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=95883
119023,Yale Peabody Museum of Natural History,CBS,http://grbio.org/cool/x0m9-a3bs,PreservedSpecimen,urn:uuid:14d02e81-930f-4f27-b054-274a6e965db1,CBS.037191,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Helianthus divaricatus,L.,Helianthus,divaricatus,,,,,,,,,,Hugh S. Clark,,1909-09-13,1909,9,13,256,,,,,,,,,,,,,,,,,,USA,Connecticut,Fairfield County,Fairfield,,,41.1779,-73.2735,WGS84,6752,,,,,,,,,,,,,,,,,2011-12-22 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:47729d2e-4ac5-4bd3-b8d0-d2e714a445e2,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=119023
